,Unnamed: 0.1,Unnamed: 0,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,classic,creative,modern,french,stars_cat,other
954,256,16,145.0,195.0,Moderne Küche,de,Baden-Württemberg,Schwarzwald-Baar-Kreis,78166,Manuel Ulrich,Donaueschingen,False,Ösch Noir,47.9655184,8.5471151,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/donaueschingen/restaurant/osch-noir,https://www.oeschberghof.com/restaurants-bars/oesch-noir,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,5.0,1,1,1,0,0,0,1,0,0,0
965,270,10,150.0,250.0,Kreativ,de,,,10117,Hendrik Otto,Berlin,False,Lorenz Adlon Esszimmer,52.5159333,13.380011,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/lorenz-adlon-esszimmer,https://www.lorenzadlon-esszimmer.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,4.0,1,0,1,0,0,1,0,0,0,0
967,273,13,198.0,238.0,Kreativ,de,Bayern,Landkreis Schwandorf,92431,Hubert Obendorfer,Neunburg vorm Wald,False,Obendorfers Eisvogel,49.3383934,12.2619376,2,0,https://guide.michelin.com/de/de/bayern/neunburg-vorm-wald/restaurant/obendorfer-s-eisvogel,https://www.der-birkenhof.de/,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,5.0,0,0,1,1,0,1,0,0,0,0
968,274,14,88.0,288.0,Asiatisch,de,,,10969,Tim Raue,Berlin,False,Tim Raue,52.5070342,13.3933841,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/tim-raue,https://tim-raue.com/,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,5.0,1,1,1,0,0,0,0,0,0,1
978,284,4,128.0,186.0,Französisch klassisch,de,Baden-Württemberg,Hohenlohekreis,74639,Boris Rommel,Zweiflingen,False,Le Cerf,49.2436455,9.5258355,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/zweiflingen/restaurant/le-cerf83229,https://schlosshotel-friedrichsruhe.de/,,,,,,,,,1,1,1,0,1,0,0,1,0,0
980,287,7,68.0,238.0,Kreativ,de,,,10785,Joachim Gerner,Berlin,False,FACIL,52.5090625,13.3737404,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/facil,https://facil.de/de/,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,0.0,1,1,1,0,0,1,0,0,0,0
984,292,12,160.0,205.0,Kreativ,de,,,10999,Sebastian Frank,Berlin,False,Horváth,52.4963922,13.420793,2,1,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/horvath,https://www.restaurant-horvath.de/,geschlossen,geschlossen,18:30-20:30,18:30-20:30,18:30-20:30,18:30-20:30,geschlossen,4.0,1,1,1,0,0,1,0,0,0,0
985,293,13,140.0,210.0,Kreativ,de,Niedersachsen,Region Hannover,30159,,Hannover,False,Votum,52.3700128,9.7338212,2,0,https://guide.michelin.com/de/de/niedersachsen/hannover/restaurant/votum,https://vo-tum.de/,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,geschlossen,5.0,1,0,1,0,0,1,0,0,0,0
1002,314,14,185.0,275.0,Kreativ,de,Bayern,Landkreis Traunstein,83224,Edip Sigl,Grassau,False,ES:SENZ,47.7856302,12.4656176,2,0,https://guide.michelin.com/de/de/bayern/grassau/restaurant/es-senz,https://www.das-achental.com/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,4.0,1,0,0,0,0,1,0,0,0,0
1003,315,15,179.0,229.0,Kreativ,de,Schleswig-Holstein,Ostholstein,23758,Christian Scharrer,Weissenhaus,False,Courtier,54.3025337,10.7656888,2,0,https://guide.michelin.com/de/de/schleswig-holstein/weissenhaus/restaurant/courtier,https://www.weissenhaus.de/,geschlossen,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,geschlossen,5.0,1,1,1,0,0,1,0,0,0,0
1004,316,16,118.0,238.0,Kreativ,de,,,12047,René Frank,Berlin,False,CODA Dessert Dining,52.4900681,13.4274391,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/coda-dessert-dining,https://www.coda-berlin.com/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,5.0,0,0,0,0,0,1,0,0,0,0
1010,323,3,245.0,255.0,Moderne Küche,de,Bayern,,80331,,München,False,Tohru in der Schreiberei,48.137597,11.577475,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/tohru-in-der-schreiberei,https://schreiberei-muc.de/,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,geschlossen,5.0,0,0,0,0,0,0,1,0,0,0
1019,4,4,60.0,185.0,Moderne Küche,lu,,Canton Luxembourg,5331,Cyril Molard,Oetrange,False,Ma Langue Sourit,49.5978074,6.2493973,2,0,https://guide.michelin.com/de/de/luxembourg/oetrange/restaurant/ma-langue-sourit,https://www.mls.lu/fr/,geschlossen,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,geschlossen,5.0,0,1,0,0,0,0,1,0,0,0
1025,3,3,55.0,95.0,Bio,nl,Gelderland,,6511 BW,Emile van der Staak,Nijmegen,False,De Nieuwe Winkel,51.8473893,5.8595982,2,1,https://guide.michelin.com/de/de/gelderland/nijmegen/restaurant/de-nieuwe-winkel,https://www.denieuwewinkel.com/,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,5.0,1,1,0,0,0,0,0,0,0,1
1030,9,9,62.0,225.0,Regional,nl,Zeeland,,4513 KK,Edwin Vinke,Hoofdplaat,False,De Kromme Watergang,51.3773498,3.6028432,2,0,https://guide.michelin.com/de/de/zeeland/hoofdplaat/restaurant/de-kromme-watergang,https://www.krommewatergang.nl/,geschlossen,geschlossen,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,5.0,1,0,1,0,0,0,0,0,0,1
1033,12,12,110.0,185.0,Modern,nl,Noord-Holland,,1012 CP,Bas van Kranen,Amsterdam,False,Flore,52.3676602,4.8942749,2,1,https://guide.michelin.com/de/de/noord-holland/amsterdam/restaurant/flore,https://restaurantflore.com/,geschlossen,geschlossen,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,geschlossen,4.0,0,1,1,0,0,0,1,0,0,0
1034,13,13,110.0,175.0,Französisch modern,nl,Limburg,,6286 AA,,Wittem,False,Julemont,50.8144424,5.9094623,2,0,https://guide.michelin.com/de/de/limburg/wittem/restaurant/chateau-wittem-restaurant-julemont,https://www.chateauwittem.com/,geschlossen,geschlossen,18:00-19:30,18:00-19:30,18:00-19:30,18:00-19:30,geschlossen,4.0,0,0,0,1,0,0,1,1,0,0
1036,15,15,75.0,155.0,Moderne Küche,nl,Noord-Holland,,2042 DA,Roy Eijkelkamp,Overveen,False,De Bokkedoorns,52.39688,4.57934,2,0,https://guide.michelin.com/de/de/noord-holland/overveen/restaurant/de-bokkedoorns,https://www.bokkedoorns.nl/,,,,,,,,,1,0,0,1,0,0,1,0,0,0
1039,18,18,125.0,160.0,Kreativ,nl,Overijssel,,7951 PC,Jarno Eggen,Staphorst,False,De Groene Lantaarn,52.6601173,6.2466765,2,0,https://guide.michelin.com/de/de/overijssel/staphorst/restaurant/de-groene-lantaarn,https://www.degroenelantaarn.com/,geschlossen,geschlossen,geschlossen,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,4.0,1,1,0,0,0,1,0,0,0,0
1052,31,11,125.0,150.0,Kreativ,nl,Overijssel,,8355 AC,Martin Kruithof,Giethoorn,False,De Lindenhof,52.74574,6.08019,2,0,https://guide.michelin.com/de/de/overijssel/giethoorn/restaurant/de-lindenhof,https://restaurantdelindenhof.nl/,geschlossen,geschlossen,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,5.0,1,1,1,0,0,1,0,0,0,0
1060,39,19,85.0,225.0,Kreativ,nl,Noord-Brabant,,5591 HN,Jan Sobecki,Heeze,False,Tribeca,51.3793,5.577939,2,0,https://guide.michelin.com/de/de/noord-brabant/heeze/restaurant/tribeca502881,https://restaurant-tribeca.com/,geschlossen,geschlossen,18:30-22:00,18:30-22:00,19:00-22:00,19:00-22:00,geschlossen,4.0,1,1,1,0,0,1,0,0,0,0
1061,40,0,75.0,165.0,Kreativ,nl,Gelderland,,3841 BG,Michel van der Kroft,Harderwijk,False,'t Nonnetje,52.3509952,5.6202128,2,0,https://guide.michelin.com/de/de/gelderland/harderwijk/restaurant/t-nonnetje,https://www.hetnonnetje.nl/,geschlossen,geschlossen,18:00-21:00,18:00-21:00,18:30-23:45,18:30-21:00,geschlossen,4.0,1,1,0,0,0,1,0,0,0,0
1066,45,5,105.0,175.0,Kreativ,nl,Noord-Brabant,,5671 CZ,Soenil Bahadoer,Nuenen,False,De Lindehof,51.4765594,5.5547065,2,0,https://guide.michelin.com/de/de/noord-brabant/nuenen/restaurant/de-lindehof,https://restaurant-delindehof.com/,18:30-20:00,geschlossen,geschlossen,18:30-20:00,19:00-20:00,18:30-20:00,19:00-20:00,5.0,1,1,0,0,0,1,0,0,0,0
1088,69,9,95.0,170.0,Kreativ,nl,Noord-Brabant,,5582 VB,Dick Middelweerd,Waalre,False,De Treeswijkhoeve,51.3780193,5.4693081,2,0,https://guide.michelin.com/de/de/noord-brabant/waalre/restaurant/de-treeswijkhoeve,https://www.treeswijkhoeve.nl/nl,geschlossen,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,12:00-00:00,12:00-13:30,5.0,1,1,0,0,0,1,0,0,0,0
1094,76,16,165.0,380.0,Moderne Küche,nl,Zeeland,,4416 NA,Jannis Brevet,Kruiningen,False,Inter Scaldes,51.4571608,4.0241076,3,0,https://guide.michelin.com/de/de/zeeland/kruiningen/restaurant/inter-scaldes,https://www.interscaldes.nl,,,,,,,,,1,0,0,0,0,0,1,0,1,0
1096,78,18,84.0,188.0,Französisch kreativ,nl,Zuid-Holland,,3011 XT,Fred Mustert,Rotterdam,False,Fred,51.9162456,4.4894221,2,0,https://guide.michelin.com/de/de/zuid-holland/rotterdam/restaurant/fred,https://www.restaurantfred.nl/,18:30-01:00,18:30-01:00,18:30-01:00,18:30-01:00,18:30-01:00,18:30-01:00,geschlossen,6.0,1,1,0,0,0,1,0,1,0,0
1099,81,1,79.0,149.0,Kreativ,nl,Noord-Holland,,1185 TS,Stefan van Sprang,Amstelveen,False,Aan de Poel,52.2997964,4.8447563,2,0,https://guide.michelin.com/de/de/noord-holland/amstelveen/restaurant/aan-de-poel,https://aandepoel.nl/,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,18:30-23:00,16:00-23:00,geschlossen,5.0,0,0,0,1,0,1,0,0,0,0
1102,84,4,205.0,595.0,Kreativ,nl,Noord-Holland,,1073 AP,,Amsterdam,False,Ciel Bleu,52.3486359,4.8928264,2,0,https://guide.michelin.com/de/de/noord-holland/amsterdam/restaurant/ciel-bleu,https://www.cielbleu.nl/,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,5.0,1,0,0,1,0,1,0,0,0,0
1109,91,11,220.0,228.0,Kreativ,nl,Noord-Holland,,1017 AH,Richard van Oostenbrugge,Amsterdam,False,Restaurant 212,52.365884,4.9003151,2,0,https://guide.michelin.com/de/de/noord-holland/amsterdam/restaurant/restaurant-212,https://212.amsterdam/,geschlossen,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,geschlossen,5.0,1,0,0,0,0,1,0,0,0,0
1114,96,16,200.0,210.0,Kreativ,nl,Noord-Holland,,1017 CG,Sidney Schutte,Amsterdam,False,Spectrum,52.36478,4.89701,2,0,https://guide.michelin.com/de/de/noord-holland/amsterdam/restaurant/spectrum437663,https://www.restaurantspectrum.com/,,,,,,,,,1,1,0,0,0,1,0,0,0,0
1118,101,1,125.0,302.0,Kreativ,nl,Noord-Holland,,1018 VA,Dennis Kuipers,Amsterdam,False,Vinkeles,52.3692878,4.8839959,2,0,https://guide.michelin.com/de/de/noord-holland/amsterdam/restaurant/vinkeles,https://www.vinkeles.com/,geschlossen,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,geschlossen,5.0,0,1,0,0,0,1,0,0,0,0
1125,108,8,49.0,180.0,Moderne Küche,nl,Zuid-Holland,,3016 GL,Erik van Loo,Rotterdam,False,Parkheuvel,51.903823,4.4715943,2,0,https://guide.michelin.com/de/de/zuid-holland/rotterdam/restaurant/parkheuvel,https://www.parkheuvel.nl/,18:30-22:00,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,12:30-16:00,6.0,1,1,0,1,0,0,1,0,0,0
1128,112,12,150.0,210.0,Kreativ,nl,Limburg,,6274 NK,Hans van Wolde,Reijmerstok,False,Brut172,50.7967588,5.836146,2,0,https://guide.michelin.com/de/de/limburg/reijmerstok/restaurant/brut172,https://www.brut172.com/,,,,,,,,,1,0,0,0,0,1,0,0,0,0
1132,116,16,100.0,210.0,Kreativ,nl,Zuid-Holland,,3032 AE,François Geurds,Rotterdam,False,FG - François Geurds,51.9265521,4.4795369,2,0,https://guide.michelin.com/de/de/zuid-holland/rotterdam/restaurant/fg-francois-geurds,https://www.fgrestaurant.nl/,geschlossen,geschlossen,geschlossen,18:30-20:30,19:00-21:00,19:00-21:00,geschlossen,3.0,1,1,0,0,0,1,0,0,0,0
1141,5,5,75.39999999999999,203.0,Französisch modern,gb,England,,W1F 7BN,,London,False,Alex Dilling at Hotel Café Royal,51.5100201,-0.1359557,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/alex-dilling-at-hotel-cafe-royal,http://www.alexdilling.com,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,7.0,0,1,1,0,0,0,1,1,0,0
1154,23,3,191.4,226.2,Moderne Küche,gb,England,,W11 2AD,,London,False,The Ledbury,51.516681,-0.2000731,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/the-ledbury,http://www.theledbury.com,geschlossen,18:00-21:15,18:00-21:15,18:00-21:15,18:00-21:15,18:00-21:15,geschlossen,5.0,1,0,0,0,0,0,1,0,0,0
1155,24,4,179.79999999999998,249.4,Kreativ,gb,England,,E2 9NF,Rafael Cagali,London,False,Da Terra,51.530411,-0.05607,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/da-terra,https://daterra.co.uk/,geschlossen,geschlossen,18:30-20:00,18:30-20:00,18:30-20:00,18:30-20:00,geschlossen,4.0,0,1,0,0,0,1,0,0,0,0
1156,26,6,139.2,185.6,Chinesisch,gb,England,,SW1V 1HP,Andrew Wong,London,False,A. Wong,51.4930091,-0.1406558,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/a-wong,https://www.awong.co.uk/,geschlossen,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30,17:30-22:30,geschlossen,5.0,0,0,0,0,0,0,0,0,0,1
1158,28,8,237.8,266.79999999999995,Französisch,gb,England,Oxfordshire,OX44 7PD,Raymond Blanc OBE,Great Milton,False,"Le Manoir aux Quat' Saisons, a Belmond Hotel",51.7169058,-1.0915663,2,1,https://guide.michelin.com/de/de/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons,https://www.belmond.com/hotels/europe/uk/oxfordshire/belmond-le-manoir-aux-quat-saisons/dining,,,,,,,,,1,1,1,0,0,0,0,1,0,0
1167,40,0,145.0,290.0,Französisch modern,gb,England,,W1S 2XD,Pierre Gagnaire,London,False,Sketch (The Lecture Room & Library),51.5126775,-0.1415369,3,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/sketch-the-lecture-room-library,https://sketch.london/,09:00-00:00,09:00-00:00,09:00-00:00,09:00-02:00,09:00-02:00,09:00-02:00,09:00-00:00,7.0,1,1,0,0,0,0,1,1,1,0
1178,55,15,150.79999999999998,290.0,Kreativ,gb,England,Cambridgeshire,CB4 1HA,Daniel Clifford,Cambridge,False,Midsummer House,52.2120545,0.1284006,2,0,https://guide.michelin.com/de/de/cambridgeshire/cambridge/restaurant/midsummer-house,https://midsummerhouse.co.uk/,geschlossen,geschlossen,18:30-20:30,18:30-20:30,18:30-20:30,18:30-20:30,geschlossen,4.0,1,0,0,0,0,1,0,0,0,0
1183,62,2,174.0,243.6,Französisch,gb,England,,W1K 1QA,Jean-Philippe Blondet,London,False,Alain Ducasse at The Dorchester,51.5073381,-0.152575,3,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,https://www.alainducasse-dorchester.com/,geschlossen,18:00-21:30,18:00-21:30,18:00-21:30,18:00-21:30,18:00-21:30,geschlossen,5.0,1,1,1,0,0,0,0,1,1,0
1186,66,6,98.6,214.6,Moderne Küche,gb,England,,W1K 3AW,Hélène Darroze,London,False,Hélène Darroze at The Connaught,51.510188,-0.1492905,3,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/helene-darroze-at-the-connaught,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,geschlossen,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,18:30-21:00,geschlossen,5.0,1,1,0,0,0,0,1,0,1,0
1187,67,7,150.79999999999998,208.8,Französisch,gb,England,,W1K 2BW,Michel Roux Jnr,London,False,Le Gavroche,51.5112997,-0.1552575,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/le-gavroche,https://www.le-gavroche.co.uk/,geschlossen,17:00-21:15,17:00-21:15,17:00-21:15,17:00-21:15,17:00-21:15,geschlossen,5.0,1,1,0,0,0,0,0,1,0,0
1191,73,13,145.0,191.4,Französisch modern,gb,Alba / Scotland,Perth and Kinross,PH3 1NF,Stephen McLaughlin,Auchterarder,False,Andrew Fairlie at Gleneagles,56.2832316,-3.7517344,2,0,https://guide.michelin.com/de/de/perth-and-kinross/auchterarder/restaurant/andrew-fairlie-at-gleneagles,https://www.andrewfairlie.co.uk/,,,,,,,,,0,1,1,0,0,0,1,1,0,0
1195,78,18,290.0,371.2,Britisch modern,gb,England,Darlington,DL2 3UD,James Close,Summerhouse,False,Raby Hunt,54.5665058,-1.6893656,2,0,https://guide.michelin.com/de/de/darlington-region/summerhouse/restaurant/raby-hunt,https://rabyhuntrestaurant.co.uk/,geschlossen,geschlossen,18:00-20:00,18:00-20:00,18:00-20:00,18:00-20:00,geschlossen,4.0,0,0,0,0,0,0,1,0,0,0
1199,84,4,319.0,435.0,Kreativ,gb,England,Windsor and Maidenhead,SL6 2AA,Edward Cooke,Bray,False,Fat Duck,51.5078582,-0.7017529,3,0,https://guide.michelin.com/de/de/windsor-and-maidenhead/bray/restaurant/fat-duck,https://thefatduck.co.uk/,geschlossen,18:00-20:15,18:00-20:15,18:00-20:15,18:00-20:15,18:00-20:15,geschlossen,5.0,1,0,0,0,0,1,0,0,1,0
1231,133,13,208.8,348.0,Kreativ,gb,England,,WC2R 1EA,Jeremy Chan,London,False,Ikoyi,51.51242,-0.11511,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/ikoyi,https://ikoyilondon.com/,,,,,,,,,0,0,1,0,0,1,0,0,0,0
1233,137,17,179.79999999999998,226.2,Kreativ,gb,England,,EC2A 3AY,Isaac McHale,London,False,The Clove Club,51.5271054,-0.0793371,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/the-clove-club,https://www.thecloveclub.com/,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,geschlossen,5.0,1,1,0,0,0,1,0,0,0,0
1239,144,4,145.0,226.2,Französisch,gb,England,,SW3 6HG,Claude Bosi,London,False,Claude Bosi at Bibendum,51.4933623,-0.1688013,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/claude-bosi-at-bibendum,https://claudebosi.com/,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,7.0,1,1,0,0,0,0,0,1,0,0
1243,153,13,133.39999999999998,261.0,Britisch kreativ,gb,England,Lancashire,L39 6RR,Mark Birchall,Aughton,False,Moor Hall,53.5423365,-2.8919183,2,1,https://guide.michelin.com/de/de/lancashire/aughton/restaurant/moor-hall,https://moorhall.com/,geschlossen,geschlossen,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,12:00-18:30,5.0,1,1,1,0,0,1,0,0,0,0
1247,158,18,168.2,249.4,Britisch modern,gb,England,,W11 2PW,Clare Smyth MBE,London,False,CORE by Clare Smyth,51.5126689,-0.2030649,3,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/core-by-clare-smyth,https://www.corebyclaresmyth.com/,geschlossen,18:30-22:00,18:30-22:00,12:00-22:00,12:00-22:00,12:00-22:00,geschlossen,5.0,1,0,0,0,0,0,1,0,1,0
1251,164,4,113.68,226.2,Französisch modern,gb,England,,EC3N 4AJ,Marc Mantovani,London,False,La Dame de Pic London,51.5101629,-0.0779535,2,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/la-dame-de-pic,https://www.ladamedepiclondon.co.uk/,geschlossen,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,18:30-21:00,geschlossen,5.0,1,1,1,0,0,0,1,1,0,0
1255,168,8,156.6,255.2,Französisch,gb,England,,SW3 4JJ,Matt Abé,London,False,Restaurant Gordon Ramsay,51.4854381,-0.1621766,3,0,https://guide.michelin.com/de/de/greater-london/london/restaurant/restaurant-gordon-ramsay,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,5.0,1,1,0,0,0,0,0,1,1,0
1262,176,16,208.8,272.6,Französisch klassisch,gb,England,Windsor and Maidenhead,SL6 2AT,Alain Roux,Bray,False,Waterside Inn,51.5091092,-0.6994376,3,0,https://guide.michelin.com/de/de/windsor-and-maidenhead/bray/restaurant/waterside-inn,https://www.waterside-inn.co.uk/,,,,,,,,,1,1,0,1,1,0,0,1,1,0
