,Unnamed: 0.1,Unnamed: 0,Column1,Unnamed,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,Gebietseinheit,pretax_income,available_income,hourly_wage,classic,creative,modern,french,stars_cat,other
28,31,27,171,11,145.0,198.0,Französisch klassisch,de,Baden-Württemberg,Ortenaukreis,77740,Martin Herrmann,Bad Peterstal,FALSCH,Le Pavillon,484574092,82507048,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/bad-peterstal/restaurant/le-pavillon83378,https://www.dollenberg.de,18:30-23:00,geschlossen,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,50,1,0,1,1,Ortenaukreis,34321.0,24531.0,27.17,1,0,0,1,0,0
29,32,28,174,14,160.0,250.0,Kreativ,de,Bayern,München,80331,Christoph Kunz,München,FALSCH,Alois - Dallmayr Fine Dining,481383054,115771585,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/alois-dallmayr-fine-dining,https://www.dallmayr.com/de/delikatessenhaus/restaurant/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,40,1,0,0,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,0,1,0,0,0,0
30,34,29,178,18,110.0,195.0,Innovativ,de,Bayern,Nürnberg,90403,Andree Köthe,Nürnberg,FALSCH,Essigbrätlein,494550962,110748151,2,1,https://guide.michelin.com/de/de/bayern/nurnberg/restaurant/essigbratlein,https://essigbraetlein.de/,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,40,1,1,0,0,"Nürnberg, Kreisfreie Stadt",42366.0,23511.0,32.41,0,0,0,0,0,1
31,35,30,182,2,205.0,295.0,Kreativ,de,Saarland,Nennig,66706,Christian Bau,Perl,FALSCH,Victor's Fine Dining by christian bau,495351732,63872109,3,0,https://guide.michelin.com/de/de/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,geschlossen,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,40,1,0,0,0,,31220.0,20312.0,25.16,0,1,0,0,1,0
32,36,31,194,14,189.0,229.0,Moderne Küche,de,Bayern,Garmisch-Partenkirchen,82493,Christoph Rainer,Krün,FALSCH,Luce d'Oro,474620032,111869112,2,0,https://guide.michelin.com/de/de/bayern/krn/restaurant/luce-d-oro,https://www.schloss-elmau.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,40,1,0,0,0,"Garmisch-Partenkirchen, Landkreis",32044.0,25542.0,25.82,0,0,1,0,0,0
33,37,32,197,17,169.0,189.0,Moderne Küche,de,Hamburg,Hamburg,20354,Julian Stowasser,Hamburg,FALSCH,Lakeside,53565225,99980345,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/lakeside,https://www.thefontenay.com/restaurants-bar/lakeside-restaurant/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,50,1,0,0,1,Hamburg,43567.0,25285.0,33.04,0,0,1,0,0,0
34,38,33,202,2,190.0,240.0,Französisch kreativ,de,Baden-Württemberg,Konstanz,78464,Dirk Hoberg,Konstanz,FALSCH,Ophelia,476671426,91874594,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/konstanz/restaurant/ophelia,https://www.restaurant-ophelia.de/,19:00-20:00,geschlossen,geschlossen,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,50,0,0,0,1,"Konstanz, Landkreis",34439.0,25881.0,28.15,0,1,0,1,0,0
35,39,34,210,10,990.0,262.0,Kreativ,de,Sachsen,Leipzig,4105,Peter Maria Schnurr,Leipzig,FALSCH,Falco,513463665,123754206,2,0,https://guide.michelin.com/de/de/sachsen/leipzig/restaurant/falco,https://falco-leipzig.de/,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,50,1,0,0,1,"Leipzig, Kreisfreie Stadt",35472.0,20051.0,26.73,0,1,0,0,0,0
36,41,35,215,15,215.0,250.0,Französisch kreativ,de,Hamburg,Hamburg,20354,Christoph Rüffer,Hamburg,FALSCH,Haerlin,535554424,99914638,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/haerlin,https://restaurant-haerlin.de/de/,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,50,1,0,1,1,Hamburg,43567.0,25285.0,33.04,0,1,0,1,0,0
37,42,36,217,17,210.0,210.0,Kreativ,de,Bayern,Nürnberg,90419,Felix Schneider,Nürnberg,FALSCH,etz,494575467,110536916,2,1,https://guide.michelin.com/de/de/bayern/nurnberg/restaurant/etz,https://etzrestaurant.de/,geschlossen,geschlossen,geschlossen,18:15-23:30,18:15-23:30,18:15-23:30,geschlossen,30,0,1,0,0,"Nürnberg, Kreisfreie Stadt",42366.0,23511.0,32.41,0,1,0,0,0,0
38,43,37,232,12,150.0,230.0,Kreativ,de,Hamburg,Hamburg,20539,Thomas Imbusch,Hamburg,FALSCH,100/200 Kitchen,535374323,100285764,2,1,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/100-200,https://100200.kitchen/,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,12:00-15:30,geschlossen,50,0,0,1,1,Hamburg,43567.0,25285.0,33.04,0,1,0,0,0,0
39,44,38,233,13,175.0,190.0,Kreativ,de,Niedersachsen,Region Hannover,30171,Tony Hohlfeld,Hannover,FALSCH,Jante,523701441,97607489,2,0,https://guide.michelin.com/de/de/niedersachsen/hannover/restaurant/jante,https://www.jante-restaurant.de/,geschlossen,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,40,0,1,0,0,"Region Hannover, Landkreis",38503.0,22753.0,29.77,0,1,0,0,0,0
40,45,39,242,2,400.0,130.0,Moderne Küche,de,Baden-Württemberg,Karlsruhe,76135,Thorsten Bender,Karlsruhe,FALSCH,sein,490062467,83818104,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/karlsruhe/restaurant/sein,https://www.restaurant-sein.de,geschlossen,geschlossen,geschlossen,18:30-23:30,18:30-23:30,18:30-23:30,18:30-23:30,40,0,0,0,0,"Karlsruhe, Stadtkreis",43514.0,23466.0,33.32,0,0,1,0,0,0
41,47,40,243,3,150.0,295.0,Französisch klassisch,de,Bayern,München,80805,,München,FALSCH,Tantris,481697565,11588259,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/tantris-75719,https://tantris.de/,geschlossen,geschlossen,18:30-01:00,18:30-01:00,18:30-01:00,18:30-02:00,18:30-00:00,50,1,0,0,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,1,0,0,1,0,0
42,49,41,244,4,135.0,245.0,Kreativ,de,Rheinland-Pfalz,Bad Dürkheim,67146,Daniel Schimkowitsch,Deidesheim,FALSCH,L.A. Jordan,494078848,81853374,2,0,https://guide.michelin.com/de/de/rheinland-pfalz/deidesheim/restaurant/l-a-jordan,https://www.ketschauer-hof.com/restaurants/la-jordan,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,geschlossen,50,1,0,1,0,"Bad Dürkheim, Landkreis",28606.0,27141.0,24.11,0,1,0,0,0,0
43,50,42,245,5,230.0,260.0,Moderne Küche,de,Nordrhein-Westfalen,Köln,50678,Daniel Gottschlich,Köln,FALSCH,Ox & Klee,509274173,69657432,2,0,https://guide.michelin.com/de/de/nordrhein-westfalen/koln/restaurant/ox-klee,https://oxundklee.de/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,40,0,1,0,0,"Köln, Kreisfreie Stadt",42656.0,23703.0,32.96,0,0,1,0,0,0
44,51,43,250,10,230.0,230.0,Mediterran,de,Hamburg,Hamburg,20457,Matteo Ferrantino,Hamburg,FALSCH,bianc,535430154,99943521,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/bianc,https://www.bianc.de/en,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,40,1,1,0,0,Hamburg,43567.0,25285.0,33.04,0,0,0,0,0,1
45,52,44,256,16,145.0,195.0,Moderne Küche,de,Baden-Württemberg,Schwarzwald-Baar-Kreis,78166,Manuel Ulrich,Donaueschingen,FALSCH,Ösch Noir,479655184,85471151,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/donaueschingen/restaurant/osch-noir,https://www.oeschberghof.com/restaurants-bars/oesch-noir,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,50,1,1,1,0,Schwarzwald-Baar-Kreis,35807.0,25706.0,27.89,0,0,1,0,0,0
46,53,45,265,5,275.0,275.0,Kreativ,de,Hamburg,Hamburg,20457,Kevin Fehling,Hamburg,FALSCH,The Table Kevin Fehling,535426688,100029635,3,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,https://thetable-hamburg.de/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,50,1,0,0,0,Hamburg,43567.0,25285.0,33.04,0,1,0,0,1,0
47,54,46,270,10,150.0,250.0,Kreativ,de,Berlin,Berlin,10117,Hendrik Otto,Berlin,FALSCH,Lorenz Adlon Esszimmer,525159333,13380011,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/lorenz-adlon-esszimmer,https://www.lorenzadlon-esszimmer.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,40,1,0,1,0,Berlin,39307.0,21745.0,30.27,0,1,0,0,0,0
48,55,47,273,13,198.0,238.0,Kreativ,de,Bayern,Schwandorf,92431,Hubert Obendorfer,Neunburg vorm Wald,FALSCH,Obendorfers Eisvogel,493383934,122619376,2,0,https://guide.michelin.com/de/de/bayern/neunburg-vorm-wald/restaurant/obendorfer-s-eisvogel,https://www.der-birkenhof.de/,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,50,0,0,1,1,"Schwandorf, Landkreis",32441.0,23178.0,25.18,0,1,0,0,0,0
49,56,48,274,14,880.0,288.0,Asiatisch,de,Berlin,Berlin,10969,Tim Raue,Berlin,FALSCH,Tim Raue,525070342,133933841,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/tim-raue,https://tim-raue.com/,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,50,1,1,1,0,Berlin,39307.0,21745.0,30.27,0,0,0,0,0,1
50,57,49,284,4,128.0,186.0,Französisch klassisch,de,Baden-Württemberg,Hohenlohekreis,74639,Boris Rommel,Zweiflingen,FALSCH,Le Cerf,492436455,95258355,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/zweiflingen/restaurant/le-cerf83229,https://schlosshotel-friedrichsruhe.de/,geschlossen,geschlossen,18:30-20:30,18:30-20:30,18:30-20:30,geschlossen,geschlossen,3,1,1,1,0,Hohenlohekreis,40514.0,25476.0,30.83,1,0,0,1,0,0
51,58,50,287,7,680.0,238.0,Kreativ,de,Berlin,Berlin,10785,Joachim Gerner,Berlin,FALSCH,FACIL,525090625,133737404,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/facil,https://facil.de/de/,geschlossen,geschlossen,19:00-22:00,19:00-22:00,19:00-22:00,geschlossen,geschlossen,30,1,1,1,0,Berlin,39307.0,21745.0,30.27,0,1,0,0,0,0
52,59,51,292,12,160.0,205.0,Kreativ,de,Berlin,Berlin,10999,Sebastian Frank,Berlin,FALSCH,Horváth,524963922,13420793,2,1,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/horvath,https://www.restaurant-horvath.de/,geschlossen,geschlossen,18:30-20:30,18:30-20:30,18:30-20:30,18:30-20:30,geschlossen,40,1,1,1,0,Berlin,39307.0,21745.0,30.27,0,1,0,0,0,0
53,60,52,293,13,140.0,210.0,Kreativ,de,Niedersachsen,Region Hannover,30159,,Hannover,FALSCH,Votum,523700128,97338212,2,0,https://guide.michelin.com/de/de/niedersachsen/hannover/restaurant/votum,https://vo-tum.de/,geschlossen,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,18:30-22:00,geschlossen,50,1,0,1,0,"Region Hannover, Landkreis",38503.0,22753.0,29.77,0,1,0,0,0,0
54,61,53,308,8,174.0,174.0,Französisch modern,de,Baden-Württemberg,Breisgau-Hochschwarzwald,79859,,Schluchsee,FALSCH,Mühle,478213714,81905051,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/schluchsee/restaurant/muhle-1195341,https://www.muehle-schluchsee.de/,18:30-24:00,geschlossen,geschlossen,18:30-24:00,18:30-24:00,18:30-24:00,18:30-24:00,5,0,0,0,0,"Breisgau-Hochschwarzwald, Landkreis",32488.0,25483.0,26.67,0,0,1,1,0,0
55,62,54,314,14,185.0,275.0,Kreativ,de,Bayern,Traunstein,83224,Edip Sigl,Grassau,FALSCH,ES:SENZ,47785695,124656421,2,0,https://guide.michelin.com/de/de/bayern/grassau/restaurant/es-senz,https://www.das-achental.com/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,40,1,0,0,0,"Traunstein, Landkreis",35807.0,25373.0,28.37,0,1,0,0,0,0
56,63,55,315,15,179.0,229.0,Kreativ,de,Schleswig-Holstein,Ostholstein,23758,Christian Scharrer,Weissenhaus,FALSCH,Courtier,543025337,107656888,2,0,https://guide.michelin.com/de/de/schleswig-holstein/weissenhaus/restaurant/courtier,https://www.weissenhaus.de/,18:00-21:30,geschlossen,geschlossen,18:00-21:30,18:00-21:30,18:00-21:30,18:00-21:30,5,1,1,1,0,"Ostholstein, Kreis",29021.0,24594.0,23.05,0,1,0,0,0,0
57,64,56,316,16,118.0,238.0,Kreativ,de,Berlin,Berlin,12047,René Frank,Berlin,FALSCH,CODA Dessert Dining,524900681,134274391,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/coda-dessert-dining,https://www.coda-berlin.com/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,50,0,0,0,0,Berlin,39307.0,21745.0,30.27,0,1,0,0,0,0
58,65,57,323,3,245.0,255.0,Moderne Küche,de,Bayern,München,80331,,München,FALSCH,Tohru in der Schreiberei,48137597,11577475,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/tohru-in-der-schreiberei,https://schreiberei-muc.de/,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,geschlossen,50,0,0,0,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,0,0,1,0,0,0
